ASURITE,Cohort,Status,Activities Count,NGSC Activities,civ mil count,service count,culture count
aatassi,4,Active,4,"Service - International Rescue Committee Volunteer,NGSC Culture - Arizona Informant interview with Clove Campbell,Service - International Rescue Committee Volunteer,Civ-Mil  - We the Marines Viewing Party",1,2,1
hnfowler,4,Active,0,,0,0,0
gcarnesi,4,Active,5,"NGSC Culture - Rare Disease Awareness Panel,Service - Disability Advocacy Letter Writing,Civ-Mil  - Preventing Atrocity Crimes in a Violent World,Service - Devils in Disguise,Service - Devils in Disguise - Tiger Mountain Foundation",1,3,1
charvey8,4,Active,4,"Service - Worship Team at Grace Community Church,Service - Floating Forests,NGSC Culture - Playing games after MT Summit,Civ-Mil  - Civil-Mil Discussion - Story of the Veteran: About Face-National Center for PTSD",1,2,1
ancoil,4,Active,4,"NGSC Culture - Mission Statement Form,Service - Saint Mary’s High School Basketball,Service - Saint Mary’s High School Basketball,Civ-Mil  - Pat’s Run",1,2,1
mzhao49,4,Active,4,"Civ-Mil  - Medal of Honor,NGSC Culture - The Healthy Living Checklist ,Service - Rover Elementary Service Day,Service - Contemporary Chinese School of Arizona Volunteer",1,2,1
jpardhe,4,Active,6,"Service - Emailing Officials,Service - Section 7 Service: Making Meal Kits,Civ-Mil  - Section 7 Civ-Mil,NGSC Culture - Section 7 Culture,Service - Church A/V Maintenance,NGSC Culture - Post Summit Games",1,3,2
mpgurro1,4,Active,3,"Civ-Mil  - Section 7 Annual Event,Service - Section 7 Annual Event,NGSC Culture - Section 7 Annual Event",1,1,1
rlee48,4,Active,4,"Service - Letters Against Isolation ,Service - Virtual E-Card Making,NGSC Culture - Alumni Virtual Chit Chat,Civ-Mil  - Civil-mil Discussion ",1,2,1
cacarls7,4,Active,4,"Service - Plant-Based Service,Service - Arthritis Foundation Fundraiser ,NGSC Culture - Post-Work Lunch,Civ-Mil  - National Guard Vaccination Zone Support",1,2,1
msharif6,4,Active,0,,0,0,0
eyescas,4,Active,5,"NGSC Culture - Section 9 Sustainability event ,Service - Section 9 Sustainability Section Event ,Civ-Mil  - Homeless Veterans Documentary ,NGSC Culture - Homeless Veterans Documentary ,Service - Midwest Food Bank ",1,2,2
adhager,4,Active,5,"NGSC Culture - Ambassadors Committee- Application Grading and Interviews,Service - Badass Women's March,Service - Menstrual Drive,Service - Love Letters,""Civ-Mil  - We, The Marines Viewing Party""",1,3,1
tdaly1,4,Active,4,"Service - Food Pantry Helper at Salvation Army Glendale,Civ-Mil  - Civil-Mil Discussion on Story of the Veteran: About Face- National Center for PTSD ,NGSC Culture - Boundless Brilliance Women's Panel,Service - Letters to Strangers ",1,2,1
hahillia,4,Active,4,"Service - PAB Grocery Hunt,Service - COVID- 19 Vaccine,NGSC Culture - Voices for Justice,""Civ-Mil  - Civil-Mil, MT 21 and 19 documentary viewing """,1,2,1
dbransby,4,Active,4,"NGSC Culture - Spring Semester Kickoff ,Service - ASU Community & Vitalant BLOOD DRIVE,Service - Vaccine Site Support,Civ-Mil  - Sand Castle Movie Viewing ",1,2,1
imaldon3,4,Active,0,,0,0,0
msdunn5,4,Active,4,"NGSC Culture - Spring Semester Kickoff,Civ-Mil  - Inauguration Watch Party and Discussion,Service - Donating Platelets with Vitalant ,Service - COVID-19 Vaccine- State Farm Site  ",1,2,1
jmchapm8,4,Active,4,"Civ-Mil  - Section 7 Event,Service - Section 7 Event,Service - Vaccination Volunteer at Statefarm Stadium,NGSC Culture - Mission team 3’d panel event",1,2,1
rbuessin,4,Active,4,"NGSC Culture - Spring Kickoff,Civ-Mil  - We The Marines Discussion,Service - Feed My Starving Children w/ ASU Catholic,Service - Served at Homeless Shelter",1,2,1
fsoneill,4,Active,3,"Service - Volunteering at the State Farm Stadium Vaccination site,NGSC Culture - The Belief Statement Survey,Civ-Mil  - Task Force Faith Documentary",1,1,1
sherdric,4,Active,4,"Service - Letters to Strangers,Service - Letters to Strangers,Civ-Mil  - Story of the Veteran: About Face National Center for PTSD Civil Mil Discussion ,NGSC Culture - NGSC Civil Citizens Forum",1,2,1
kmcochr3,4,Active - Graduate School,4,"NGSC Culture -  NGSC CIVIL CITIZENS FORUM ,Service - Virtual E-Cards for World Pediatric Project ,Service - The Positivitea Project ,""Civ-Mil  - """"The Utility of Special Operations: Facing Challenges of Great Power Competition And Compound Security""",1,2,1
tjweber2,4,Active,4,"Service - Self Organized Clothing Drive,""Civ-Mil  - We, The Marines Discussion"",NGSC Culture - NGSC Alumni Chit Chat: The Non-Profit Sector,Service - Card Making for Children at Seattle Children's Hospital ",1,2,1
bmesnik,4,Active,3,"Service - Campus Tours,Service - SDMB Leadership Interest Meeting,NGSC Culture - Clove Campbell with the Arizona Informant Interview",0,2,1
kdonohu2,4,Active,5,"Service -  RIO Earth Day Salt River Cleanup,Service - Tiger Mountain Foundation - Help in the Community Garden At Spaces of Opportunity,""Service - Annual Stars Event, Boys & Girls Clubs of the Valley"",NGSC Culture - Member of the Civil-Mil Committee,Civ-Mil  - Greyhound Movie Discussion ",1,3,1
wlandrie,4,Active,4,"NGSC Culture - Healthy Living Checklist MT 16,Civ-Mil  - Renewal of Democracy,Service - Feed My Starving Children,Service - Feed My Starving Children",1,2,1
jnew3,4,Active,0,,0,0,0
htfry,4,Active,4,"NGSC Culture - Bachelor Watch Party,Service - Volunteering at TCAA food pantry ,Service - Volunteering at TCAA Food Pantry,Civ-Mil  - Robert E Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause",1,2,1
mevallej,4,Active,5,"NGSC Culture - Spring Kickoff,Service - Packing college readiness kits,Service - Writing covid-19 frontline workers letters,NGSC Culture - Ambassadors committee,Civ-Mil  - A Million Thanks letter writing",1,2,2
aszubiat,4,Active,4,"Service - Sun Devil Dance Marathon,Service - Freerice,NGSC Culture - NGSC Healthy Living Checklist,Civ-Mil  - WE THE MARINES VIEWING PARTY",1,2,1
tjle1,4,Active,4,"Service - All Hands On Deck,NGSC Culture - Viewing Party: Brave Blue World,""Civ-Mil  - Social Networks, Class, and Proxy Warfare in Syria"",Service - Classifying Plankton",1,2,1
ceweigel,4,Active,4,"Service - Feed My Starving Children,Service - Make A Wish Tennis Tournament,NGSC Culture - Interview with NGSC Senior about impact,Civ-Mil  - Letters to soldiers",1,2,1
apaynte1,4,Active,4,"Civ-Mil  - Section 7 (Video Watch and Q/A),NGSC Culture - Section 7 (Paper Airplane Competition),Service - United Food Bank,Service - Feed My Starving Children",1,2,1
mlam9,4,Active,4,"Civ-Mil  - The Utility of Special Operations: Facing Challenges of Great Power Competition And Compound Security Confirmation,Service - Virtual FAFSA Workshop,NGSC Culture - Will Arizona Run Out of Water?,Service - Nutrition Project",1,2,1
bstinsma,4,Active,4,"NGSC Culture - Student Ambassador for Phone Interviews Incoming Freshman,Civ-Mil  - Center for the Future of War Research Fellowship- Army War College Discussion,Service - Clothing Closet with the Welcome to America Project,Service - Turning Point Shelter Volunteering",1,2,1
jacraft2,4,Active,3,"Civ-Mil  - Civil-Mil Discussion ,Service - Fiji Suicide Awareness Week ,Service - Read>Lead>Achieve Car Wash",1,2,0
amventur,4,Active,4,"Civ-Mil  - CIVIL MIL DISCUSSION WITH A VETERAN ABOUT REASSMILATION,Service - SMITHSONIAN DIGITAL VOLUNTEERS: TRANSCRIPTION CENTER,NGSC Culture - On Leadership Planning,Service - Voyce Threads",1,2,1
mjmcnall,4,Active,4,"Service - Sentinel Track Invitational ,Civ-Mil  - Mission Team Watch Party ,Service - Sentinel Annual Track Meet,NGSC Culture - Section 7 Paper Airplane Competition",1,2,1
haxtell1,4,Active,4,"Service - Feed My Starving Children,Service - Feed My Starving Children,Civ-Mil  - Section 7 Event,NGSC Culture - Section 7 Event",1,2,1
salvar29,4,Active,4,"Service - Stepping Stone Mentor Program Event #3,Service - Cookout for Arthritis,NGSC Culture - NGSC Alumni Chit Chat,Civ-Mil  - U.S. Air Force National Museum Virtual Tour",1,2,1
knyoung3,4,Active,4,"Civ-Mil  - Greyhound,Service - Every Drop Counts,NGSC Culture - Earth Day Event,Service - Rio Earth Day Clean Up Week",1,2,1
wjwendt,4,Active - Graduate School,4,"Service - Education for Humanity volunteer mentor,Service - Education for Humanity volunteer,NGSC Culture - NGSC Ambassadors Committee essay grading,Civ-Mil  - Code of Support documentary",1,2,1
laprice4,4,Active,5,"NGSC Culture - Rare Disease Panel,NGSC Culture - Mission Team 16 Healthy Living,Service - Annual Section 7 Event,Service - St. Joseph the Worker Hike ,Civ-Mil  - City Year Webinar",1,2,2
adoctor1,4,Active,4,"Service - Smithsonian Transcription,Service - Spring Paws Event,Civ-Mil  - We the Marines viewing party,NGSC Culture - On Leadership Planning",1,2,1
ctrimarc,4,Active,3,"Service - PositiviTEA,Service - World Pediatric Project,""Civ-Mil  - We, The Marines Discussion""",1,2,0
mculrich,4,Active,4,"Civ-Mil  - Medal of Honor Reflection,Service - Science Detectives,Service - Science Detectives,NGSC Culture - Mission Team Summit Game Room",1,2,1
aram3,4,Active,0,,0,0,0
bwjones6,4,Active,0,,0,0,0
rlmills5,4,Active,4,"Service - Volunteering with Planned Parenthood,Service - Nutrition Project Annual Section 7 Event,Civ-Mil  - Video Watch & Q/A Annual Section 7 Event,NGSC Culture - Paper Airplane Competition Annual Section 7 Event",1,2,1
ajorour2,4,Active,4,"NGSC Culture - Spring Semester Kickoff,Civ-Mil  - The Challenges of Black Patriotism,Service - Positivitea Project pt. II,Service - Read Lead Achieve Service",1,2,1
smillerw,4,Active,4,"NGSC Culture - NGSC Cornhole Tournament,Civ-Mil  - Barrett the Honors College Distinguished Global Leader Series,Service - Rio Reimagined Earth Day Salt River Cleanup,Service - Rio Reimagined Litterati Cleanup ",1,2,1
mlbayle2,4,Active,4,"NGSC Culture - The Bachelor Watch Party With Laney,Service - Sigma Kappa Sigma Sweets,Civ-Mil  - Medal of Honor Viewing,Service - Organized Used Clothing Drive for UMOM",1,2,1
jbdunn,4,Active,4,"NGSC Culture - NGSC CIVIL CITIZENS FORUM OF 2021,Service - Feed My Starving Children,Service - Feed My Starving Children,Civ-Mil  - What Now? The Future of the JCPOA and Iranian Nuclear Program w/ Joe Brazda",1,2,1
zmjacobs,4,Active,5,"NGSC Culture - Civ-Mil Committee Member ,Civ-Mil  - 1917 Movie Night and Discussion ,Service - Day of the Green New Deal ,Service - Movie Night Discussion ,Service - Green New Deal Education day",1,3,1
cdvasqu3,4,Active,4,"NGSC Culture - Spring Kick Off ,Civ-Mil  - Section 7 Event,Service - Section 7 Event,Service - COVID Vaccine Site at the Municipal Stadium",1,2,1
ameza20,4,Active,4,"NGSC Culture - Civil Citizens Forum Co-Moderator ,Service - Annual Women’s March (Virtual) ,Civ-Mil  - Civil-Mil Discussion ,Service - Saint Mary's Foodbank Drive ",1,2,1
hlazere,4,Active,4,"NGSC Culture - NGSC Spring Kick-Off,""Civ-Mil  - Mission team 21, 19, and Civil Mil  Documentary Viewing "",Service - Tigermountain Foundation Farmers Market ,Service - Litterati Trash Pick-up",1,2,1
egrosen1,4,Active,4,"NGSC Culture - Coffee Tea talk,Civ-Mil  - Medal of Honor,Service - Hillel food giveaway,Service - Hillel Grant applications",1,2,1
mkwarner,4,Active,5,"Civ-Mil  - MT 21 & MT 19 Documentary screening,Civ-Mil  - Section 7 tricredit event - homeless veterans video,Service - section 7 tricredit event - nutrition and hunger videos,NGSC Culture - Section 7 - tricredit event - culture event ,Service - Feed my Starving Children - food packing ",2,2,1
mpdamasc,4,Active,4,"Service - E-card making for World Pediatric Project,Service - THE POSITIVITEA PROJECT,Civ-Mil  - The Right Way to Censor: Addressing Internet Harm and Improving Security,NGSC Culture - Education for Equality: The fight for All Immigrants",1,2,1
csandy,4,Active - Graduate School,4,"NGSC Culture - 2021 NGSC Spring Semester Kickoff,Service - ASU COVID-19 Vaccine Site Support,Service - ASU COVID-19 Vaccine Site Support,Civ-Mil  - ASU Center for the Future of War: Can Women’s Movements Save the World",1,2,1
cmoga1,4,Active,4,"Civ-Mil  - Sylvester Antelak,Service - Carlos Zamora,NGSC Culture - Robert Buessing,Service - Litterati Challenge ",1,2,1
lmlim,4,Active,4,"NGSC Culture - Spring Kicking Off,Service - COVID-19 Contact Tracing,Service - COVID-19 Contact Tracing ,Civ-Mil  - Mission Team 21 Movie Viewing ",1,2,1
wwtaylor,4,Active,4,"Service - St Vincent De Paul / Human Services Campus Meal Service,""Civ-Mil  - Civil-mill discussion, story of the veteran: about face, national center for PTSD"",NGSC Culture - Regular participation in the Civil-Mil Committee,Service - Rare Disease Pannel ",1,2,1
ntwishim,4,Active,0,,0,0,0
ssande28,4,Active,4,"Civ-Mil  - The Challenge of Black Patriotism,Service - Smithsonian transcribing ,Service - Transcribing documents for the Smithsonian,NGSC Culture - Alumni Virtual Chit Chat",1,2,1
cbrendo1,4,Active,4,"Civ-Mil  - We the Marines Viewing Party,NGSC Culture - Educational Equality: The Fight for all Immigrants,Service - First Institutional Baptist Church Vaccine Event,Service - March and Vigil Against Anti-Asian Violence",1,2,1
ddfalco1,4,Active,4,"NGSC Culture - NGSC Alumni Chit Chat: The Non-Profit Sector Edition,Civ-Mil  - U.S. Air Force National Museum Virtual Tour,Service - Future For Kids ,Service - Babysitting the Elder's",1,2,1
grferna1,4,Active,4,"Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,Service - Phoenix Municipal Stadium Vaccines ,Service - Zooniverse,NGSC Culture - Belief statement ",1,2,1
bmdixon1,4,Active,4,"NGSC Culture - Night of Inclusion,Service - Devils in Disguise 1,Service - Devils in Disguise 2,Civ-Mil  - Weekend with National Guard",1,2,1
jgoyer,4,Active,4,"Service - Arizona Science Center Sustainability Weekend Volunteering,Service - Arizona Science Center Volunteering,""Civ-Mil  - Social Networks, Class, and Proxy Warfare in Syria"",NGSC Culture - Interview with Cloves Campbell",1,2,1
chardin5,4,Active,4,"Civ-Mil  - Transnational Feminist Movements: Reflections on International Woman's Day 2021,NGSC Culture - NGSC Covid Response Team Meeting,Service - COVID-19 Discussion Preparation,Service - COVID-19 Long COVID Discussion",1,2,1
tpolen,4,Active,0,,0,0,0
sprida,4,Active,4,"Service - Lucha Phone bank ,Civ-Mil  - Can Women’s Movements Save The World?,Service - Alexis Garcia,NGSC Culture - Civil Citizens Forum",1,2,1
eazuma1,4,Active - Graduate School,4,"Service - Plant-Based Service,Service - Letter Writing for the Community,NGSC Culture - Earth Day Challenge,Civ-Mil  - Our Distinguished Global Leader Presentation by General Harrigian",1,2,1
ahoule,4,Active,4,"Civ-Mil  - Donbas Film Discussion ,Service - Helping out with my church ,Service - Volunteering at a vets office ,NGSC Culture - Viewing Party: There's Something in the Water ",1,2,1
jbollamo,4,Active,4,"Service - Tempe Beach Park Clean Up,Service - RIO Earth Day Salt River Cleanup,""Civ-Mil  - We, The Marines Viewing Party"",Service - COVID Response Team",1,3,0
asmit164,4,Active,4,"Service - McCord Scholars Service Event,Service - Salvation Army Donation Drive,NGSC Culture - Beliefs Statements Survey,""Civ-Mil  - We, The Marines Viewing Party""",1,2,1
hmazboud,4,Active,0,,0,0,0
rteo1,4,Active,4,"NGSC Culture - Spring Semester Kickoff,Civ-Mil  - Homeless Veterans documentary viewing ,Service - Neighborhood Christian Clinic,Service - Rare Disease Awareness Panel",1,2,1
jlidberg,4,Active,4,"NGSC Culture - NGSC CIVIL CITIZENS FORUM,Service - AZ Animal Rezcue Foundation,Service - AZ Animal Rezcue Foundation,Civ-Mil  - Civil Mil Discussion with a Veteran about Reassimilation",1,2,1
ccrippin,4,Active,6,"NGSC Culture - Spring Semester Kickoff,Civ-Mil  - Can Women’s Movements Save the World? at Zócalo Public Square,Civ-Mil  - Section 7 Event - Video Watch Q/A,Service - Section 7 - Food Scarcity/Survival Kits,Service - These Hands Don't Hurt,Service - Canned food drive",2,3,1
brking4,4,Active,4,"Service - Youth Leader Council,Service - Logisitics meeting,Civ-Mil  - Presidental Inauguration,NGSC Culture - Brave Blue World Sustainability Discussion",1,2,1
mgiulie1,4,Active,3,"Service - Lockdown English Lessons,Service - Lockdown English lessons,Civ-Mil  - Story of the veteran",1,2,0
cthomp53,4,Active,3,"""Civ-Mil  - We, The Marines Viewing Party"",NGSC Culture - Alumni Virtual Chit Chat,Service - RIO Earth Day Salt River Cleanup",1,1,1
alunacer,4,Active,1,Service - Rare disease Panel letter writing,0,1,0
smfoote1,4,Active,4,"NGSC Culture - NGSC Beliefs Statement,""Service - Comfort Bears in a Catastrophe """"Tag a Bear"""""",Service - World Pedaitric Project Letters of Hope,Civ-Mil  - Self-guided virtual reality tour of U.S Army Airborne and Special Operations Museum: Exhibit",1,2,1
jarami31,4,Active,4,"Civ-Mil  - Renewal and Remaking of Democracy,NGSC Culture - Earth Day Challenge,Service - Amnesty International Online Service,Service - Smithsonian Document Transcription",1,2,1
scampto1,4,Active,4,"NGSC Culture - Virtual I Am Home Breakfast,Civ-Mil  - Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause,Service - Smithsonian Transcription,Service - Burrito Making Service Night",1,2,1
naroman2,4,Active,4,"NGSC Culture - Section #9 Event,Service - Encounter AZ Farm Volunteer Day,Civ-Mil  - When Does Resistance Become Insurrection? Free Speech and the Defense of the Republic,Service - Covid-19 Vaccine volunteer",1,2,1
jbucker1,4,Active,4,"NGSC Culture - Spring Semester Kickoff,Service - Virtual E-Card Making for the World Pediatric Project,Service - Body of Water Clean-Up,Civ-Mil  - Preventing Atrocity Crimes in a Violent World",1,2,1
mzahares,4,Active - Graduate School,4,"Service - Zooniverse - Chimp and See,NGSC Culture - Spring Welcome - Marvel Trivia,Service - Zooniverse - Chimp and See,Civ-Mil  -  U.S. Air Force National Museum Virtual Tour",1,2,1
lccorey,4,Active - Graduate School,4,"NGSC Culture - Spring Kickoff,Service - Letter Writing for the Community,Service - COVID-19 Vaccine Volunteer,Civ-Mil  - Profiles in Service - It Takes A Nation",1,2,1
etrantin,4,Active,4,"NGSC Culture - NGSC Belief Statement,Service - Hospital volunteering,Service - Hospital Volunteering,""Civ-Mil  - We, The Marines Viewing Party""",1,2,1
mlregorg,4,Active,4,"Civ-Mil  - ASU Pat Tillman Leadership Through Action Tillman Tunnel,NGSC Culture - Queering Sex Ed,Service - Community Composting Program,Service - Vista Del Sol Gold Dome Paint Party",1,2,1
mchall5,4,Active,4,"Service - COVID-19 Contact Tracing,Service - COVID-19 Contact Tracing 2,NGSC Culture - Spring Semester Kickoff,Civ-Mil  - Greyhound Movie Discussion",1,2,1
jnewell6,4,Active,3,"""Civ-Mil  - """"Street Vets"""" screening with MT 21 and Civil-Mil Committee"",NGSC Culture - Mike McQuaid Virtual I AM HOME  Breakfast,Service - Phoenix City Council Hearing 2/3",1,1,1
haltaf,5,Active,4,"NGSC Culture - Rare Disease Panel,Civ-Mil  - Tillman Tunnel,Service - Tiger Mountain Foundation,Service - Flu Shot Clinic",1,2,1
ualtamir,5,Active,2,"NGSC Culture - Human Trafficking Awareness ,Civ-Mil  - Virtual Tour of Military Facility ",1,0,1
aacornel,5,Active,4,"Service - Section 5 Event,Service - Section 5 Event,NGSC Culture - Section 5 Event,Civ-Mil  - Civil Mil Discussion",1,2,1
mrubiora,5,Active,4,"NGSC Culture - 2021 NGSC Spring Semester Kickoff,Civ-Mil  - Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause,Service - Online Vaccine Registration,Service - Online Vaccine Registration",1,2,1
jhende23,5,Active,5,"Civ-Mil  - Documentary & discussion on Veterans and Homelessness,NGSC Culture - Voices for Justice Presentation + Q&A,Service - Bunny and Balloons Volunteer and Service,Service - Sanitizing school toys for children during Covid-19,Service - Volunteer to Sanatize preschool toys",1,3,1
aehopkin,5,Active,5,"""Service - Fundraiser: Lead, Read, Acheive"",Service - Book Drive: Lead Read Acheive,NGSC Culture - AAMASU Poetry night,NGSC Culture - Viewing Party,Civ-Mil  - Wrote letters to service veterans",1,2,2
aaordone,5,Active,4,"NGSC Culture - Spring kickoff ,Service - Vaccine volunteer ,Civ-Mil  - Section 7 event ,Service - Section 7 event",1,2,1
aplayer,5,Active,0,,0,0,0
nlhughe1,5,Active,4,"NGSC Culture - Civil Citizens Forum,Civ-Mil  - U.S. Air Force National Museum Virtual Tour,Service - SMITHSONIAN DIGITAL VOLUNTEERS: TRANSCRIPTION CENTER,Service - Letters to Strangers",1,2,1
bjshaw3,5,Active,4,"Civ-Mil  - Renewal and Remaking of Democracy Confirmation,Service - Rare Disease Panel,NGSC Culture - NGSC Healthy Living Checklist,Service - Earth Day Cleanup Week ",1,2,1
tbrahmer,5,Active,4,"NGSC Culture - Section 5 event ,Civ-Mil  - section 5 event,Service - Volunteer at Phoenix children’s hospital,Service - Volunteer at Phoenix children’s hospital",1,2,1
jklopez2,5,Active,5,"Service - RISE Tutoring,Service - RISE Tutoring ,NGSC Culture - Spring Semester Kickoff,""Civ-Mil  - We, The Marines, Discussion"",""Civ-Mil  - We, The Marines, Discussion""",2,2,1
ihuckabe,5,Active,4,"NGSC Culture - Section 9 Event ,""Civ-Mil  - THE 2021 JOHN J. RHODES LECTURE """"EXPANDED SPACE EXPLORATION"""""",Service - Textbanking with Greenpeace ,Service - Textbanking with Greenpeace",1,2,1
xmoragam,5,Active,3,"NGSC Culture - Spring Semester Kick-Off,Civ-Mil  - Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause,Service - Crisis Text Line",1,1,1
amwickha,5,Active,4,"Civ-Mil  - Dog War hero discussion,Service - HR1 Event,Service - Senior Recognition night,NGSC Culture - Alumni Chit chat",1,2,1
ekvincen,5,Active,4,"Service - Plant Based Service Opportunity,Service - Letter Writing for the Community ,Civ-Mil  - Medal of Honor Viewing,NGSC Culture - Brave Blue World",1,2,1
admiche1,5,Active,0,,0,0,0
keharve3,5,Active,4,"Service - Rare Diseases Panel (MT 12),NGSC Culture - Q&A with Sarah Turney,Civ-Mil  -  The National WWII Museum Online Tour,Service - TOPs Soccer",1,2,1
szilberm,5,Active,4,"NGSC Culture - Bachelor Watch Party with Laney (room from Spring Kickoff),Service - Feed My Starving Children,Service - Donation to Black Lives Matter,Civ-Mil  - Recruitment event",1,2,1
bnhicks2,5,Active,4,"Service - Kelp on the edge ,NGSC Culture - Civil-Mil Committee  ,Service - Body of Water Clean up,Civ-Mil  - 1917 Movie Discussion ",1,2,1
mtorrest,5,Active,4,"""Civ-Mil  - We, The Marines Viewing Party"",Service - Volunteered at Feed My Starving Children,NGSC Culture - NGSC Alumni Chit Chat: The Non-Profit Sector,Service - Feed My Starving Children",1,2,1
umohamm1,5,Active,4,"NGSC Culture - Brave Blue World Sustainability Discussion,""Civ-Mil  - We, the Marines Viewing Party"",Service - DoSomething.Org,Service - Letters to Strangers",1,2,1
malebro2,5,Active,4,"Service - Kappa Delta Chi's Service Rush Event,NGSC Culture - Paper Airplane Making,Civ-Mil  - We the Marines discussion ,Service - Changemaker Centrals Plarn Making",1,2,1
cemohr,5,Active,4,"NGSC Culture - Anti-Asian Racism and White Supremacy ,Civ-Mil  - Story of Veterans ,Service - Big Brother Big Sister,Service - Big Brother Big Sister",1,2,1
temuto,5,Active,4,"Service - voters voice,Service - Feed My starving children,NGSC Culture - Rare disease pannel,Civ-Mil  - US air force tour ",1,2,1
aikusek,5,Active,4,"Service - Positivitea,Civ-Mil  - Civil Mil Committee event,Service - Contact Tracing,NGSC Culture - Section Event",1,2,1
rmresend,5,Active,4,"Civ-Mil  - Section 7 Event: Homeless Veterans Video ,NGSC Culture - NGSC Beliefs Statement Student Survey,Service - Section 7 Event: ,Service - Litterati Trash Clean up",1,2,1
jbguarda,5,Active,4,"Service - University Medical Center Vaccine Center Volunteer,Service - Franklin High School Booster Club,NGSC Culture - Earth Day Challenge,Civ-Mil  - Medal of Honor watch party",1,2,1
dmungui1,5,Active,4,"NGSC Culture - Section 9 Event - Green Deal,Service - Migrant Farm Workers Mobile Vaccine Clinic,Civ-Mil  - Self-Guided Virtual Reality Tours,Service - Street Mapping - vulnerable populations",1,2,1
jaearly,5,Active,4,"Service - Food Drive,Service - Food/Holiday Drive ,NGSC Culture - Spring Kickoff,Civ-Mil  - We the Marines Viewing Party",1,2,1
jwnixon,5,Active,4,"Service - Educational Equality: The Fight for All Immigrants,NGSC Culture - Educational Equality: The Fight For All Immigrants,Civ-Mil  - CIVIL MIL DISCUSSION WITH A VETERAN ABOUT REASSIMILATION,Service - Smithsonian Institute - Digital Volunteers",1,2,1
tsingh23,5,Active,4,"Service - Rumala Seva at Guru Nanak Dwara,Service - Rumala Seva at Guru Nanak Dwara,NGSC Culture - 'Will Arizona Run Out of Water?' Panel Event,Civ-Mil  - U.S. Air Force National Museum Virtual Tour",1,2,1
jpadil28,5,Active,4,"Service - The Amazing Race,""Civ-Mil  - We, the Marines Viewing party"",NGSC Culture - Mission Team Summit After Hours,Service - Emergency Food Box Packing",1,2,1
stellefs,5,Active,4,"Service - Virtual E-Card making for World Pediatric Project,Service - Quantify climate change by digitizing sea level rise data from the UK,NGSC Culture - Learn how to compost,Civ-Mil  - Sand Castle Viewing",1,2,1
rklatha1,5,Active,0,,0,0,0
caridi,5,Active,4,"Civ-Mil  - Veteran Documentary MT 19 & 21,Service - Zooniverse - Virtual Volunteer Night with BMES,Service - Feed My Starving Children Event,NGSC Culture - NGSC Alumni Chit Chat",1,2,1
tliu136,5,Active,4,"Service - Positivitea Project,Service - World Pediatric Project,NGSC Culture - Service Chair ,""Civ-Mil  - We, The Marines""",1,2,1
