Cohort,Retreat,OL Fall,OL Spring,Activities Count,NGSC Activities,civ mil count,service count,culture count
5,Yes,Yes,no,4,"""Civ-Mil  - """"Profiles in Service""""- It Takes A Nation Documentary Conversation"",NGSC Culture - Meeting the Moment: Leadership During A Crisis Panel Series,Service - Letters to a Stranger,Service - PFAC Monthly Usher",1,2,1
5,Yes,Yes,yes,4,"Service - Freerice,Civ-Mil  - Code of Support Documentary. Profiles in Service: It takes a nation,NGSC Culture - Discussion about Tiger King,Service - Letters to Strangers",1,2,1
2,no,yes,no,0,,1,3,2
5,Yes,Yes,yes,0,,1,1,1
2,no,Yes,yes,0,,1,2,1
3,Yes,YES,yes,4,"Service - Borderlands Produce Rescue,Service - TCAA Food Pantry,NGSC Culture - NGSCxSDAR,Civ-Mil  - Rising Tide Episode (found via Air Table)",1,2,1
5,Yes,Yes,yes,4,"Service - A Night to Shine,NGSC Culture - Health Professionals Panel,Service - Bash the Bug,Civ-Mil  - Profiles in Service - It Takes A Nation",0,0,0
2,Excused,Excused,yes,3,"NGSC Culture - Year 4 Panel at On Leadership Seminar,Civ-Mil  - Profiles in Service - It Takes A Nation,Service - Food for the Hungry",1,2,2
T3,Yes,Yes,yes,6,"NGSC Culture - Healthcare Professionals Panel Discussion,Civ-Mil  - Overview of September 11th Nat'l Day of Service and Remembrance and Planning Your Service Project,Service - Park Cleanup,Service - Bags to Encourage,Service - Bags for Encouragment,Service - Clean up Parks",1,3,1
2,Excused,Excused,yes,4,"NGSC Culture - On Leadership Volunteer,Civ-Mil  - Meeting the Moment: Leadership During a Crisis- 3- Leadership as a First Responder and a Medical Professional,Service - Meeting the Moment: The Next Generation of Service,Service - Freerice",1,2,1
3,No,Yes,yes,4,"Civ-Mil  - Section 8 Civil-Mil Documentary ,Service - Expedition Days Event ,Service - Operation Outreach- Actions into Words,NGSC Culture - NGSC Connect Culture",1,2,1
4,Yes,yes,yes,4,"Civ-Mil  - ASU Letter Writing Campaign,Service - Digital Volunteer- Smithsonian institution,NGSC Culture - Meeting the Moment: Leadership During a Crisis session 1 ,Service - Digital Transcriber Volunteer- Smithsonian Institute",1,2,1
3,Yes,yes,yes,4,"Civ-Mil  - Meeting the Moment: Leadership During a Crisis Panel Series,NGSC Culture - On Leadership Internship Discussion,Service - Letters to Strangers,Service - Free Rice",0,0,0
T2,No,No,yes,4,"NGSC Culture - NGSC Interviews,""Civ-Mil  - General James N. Mattis Lecture """"Thwarting Threats and Nurturing Allies in Today’s Global Affairs"""""",Service - United Food Bank Friday Food Distribution,Service - Lorena Austin",1,2,1
5,Yes,Yes,yes,3,"Civ-Mil  - David Avezov,NGSC Culture - David Avezov,Service - Meeting the Moment",1,2,1
3,Yes,yes,yes,3,"Civ-Mil  - Meeting the Moment ,NGSC Culture - Meeting the moment ,Service - St. Mary's Food Bank",1,2,1
5,Yes,Yes,yes,4,"NGSC Culture - Healthcare Professions Panel Discussion ,Civ-Mil  - National and Community Service-Overview of September 11th ,Service - Open arms Care Center ,Service - Wildhorse Ranch Rescue",1,1,1
T2,yup,yes,yes,5,"NGSC Culture - Women's March & poster making & Ambassador committee event  & in n out event for sex trafficking ,Civ-Mil  - Overview of September 11th Nat'l Day of Service and Remembrance and Planning Your Service Project,""NGSC Culture - Innovation committee, transfer night, Health care professions, Roadmap to Intersectionality, NGSC letting zoo, I feel like I did way more but I can not think of all of them on the top of my ahead"",Service - Computer tutor for refugee women - lutheran social services,Service - Computer tutoring for refugee women- Lutheran social services program",1,2,1
4,Yes,Yes,yes,4,"Service - Feed My Starving Children,Civ-Mil  - It Takes a Nation,NGSC Culture - Mission Team 16 Health Profession Panel,Service - Hunger Notes - Feeding the Hungry Via a Quiz",1,2,1
T3,Yes,Yes,no,4,"Service - Brighter Way Dental Clinic,Civ-Mil  - AZ Mission of Mercy Dental Day for veterans ,Service - Arizona Mission of Mercy Dental Mission of Mercy,NGSC Culture - Leadership as a First Responder and a Medical Professional",1,2,1
4,Yes,yes,no,1,Service - Volunteering at the CIEE Tree Nursery,0,2,1
5,Yes,yes,yes,4,"Service - Feed my Starving Children,Service - Feed my Starving Children,NGSC Culture - Ambassador's Committee,""Civ-Mil  - PBS- The War, Letter from Directors""",1,3,1
2,yes,yes,yes,3,"NGSC Culture - Watched the recording of: Session 3 of Meeting the Moment: Leadership as a First Responder and Medical Professional,Civ-Mil  - Air Force LEADEx,Service - ROTC volunteering at NASCAR ",1,2,1
5,Yes,Yes,yes,4,"Civ-Mil  - Civil Mil movie and leadership discussion,NGSC Culture - NGSC Town Hall ,Service - RISE tutoring ,Service - Ronald McDonald House",0,0,0
T3,Yes,yes,yes!,4,"NGSC Culture - Volunteering for on leadership ,Service - Produce Rescue ,Service - Open door ,Civ-Mil  - Trump and his Generals :The cost of chaos ",1,2,1
5,Yes,Yes,yes,7,"Service - Penny Drive,NGSC Culture - Mission Team 2 Human Trafficking IN-N-OUT Campaign ,Service - Project Gutenberg-Proofreading,Civ-Mil  - Civil Mill Reflection of the Military's Role with COVID-19,Service - Freerice,NGSC Culture - MT2 In-N-Out celebration ,NGSC Culture - In-N-Out Penny Drive Celebration",1,2,2
5,Yes,Yes,yes,4,"Service - Feed My Starving Children Packing Session,Service - Free Rice,Civ-Mil  - ASU Online - Letters to Soldiers,NGSC Culture - Healthcare Professionals Panel",1,2,1
4,Yes,YES,yes,5,"NGSC Culture - Helped with On-Leadership pre event ,Service - Saint Vincent DePaul Family Dining Room Service ,Civ-Mil  - Pat’s Run PreRace Serice,Service - St. Vincent Depaul,Service - NGSC Connect Service on 4/15",1,2,1
5,Yes,Yes,yes,4,"Service - Feed my Starving Children,Service - St. Vincent de Paul Dining room,NGSC Culture - A Plastic Ocean Watch Party,Civ-Mil  - Self Guided VR Tour of US Army Airborne and Special Operations Museum Exhibit",1,2,1
3,No,Yes,yes,4,"NGSC Culture - PS Civil Servants Committee Chair ,Civ-Mil  - Meeting the Moment: Leadership During Crisis,Service - Give Career Advice to High School Students Online- CareerVillage,Service - Meeting the Moment: The Next Generation of Service",1,2,1
5,Yes,Yes,yes,4,"Service - Letters to strangers,NGSC Culture - Healthcare professionals panel video,Civ-Mil  - Salute to service letter writing campaign ,Service - Feed my starving children",1,2,1
T2,Yes,Yes,no,4,"Service - ICM Food and Clothing Bank volunteer event,Service - Zoo Move and Groove,Civ-Mil  - When One Family Member Serves the Entire Family Serves,NGSC Culture - Transfer Quarantine Off Load",1,2,1
2,Excused,Excused,no,4,"Service - Nature Cleanup,Service - Nature Cleanup ,NGSC Culture - Healthcare Professionals Panel Video ,Civ-Mil  - Profiles in Service - It Takes a Nation",1,2,0
3,Yes,Yes,yes,4,"Civ-Mil  - Visiting a Veterans Home,NGSC Culture - Ambassadors Committee Reviewing Applications,Service - RISE Tutoring,Service - RISE Tutoring",1,2,1
5,Yes,Yes,yes,4,"Service - Smithsonian Institute - Digital Volunteers,NGSC Culture - Health Care Professionals Panel ,Civ-Mil  - Meeting the Moment: Leadership in Crisis Planning and Crisis Decision Making,Service - MT 13 Virtual Service - Bash the Bug",1,2,1
3,Yes,yes,yes,5,"Service - Changemaker Day of Service MLK,Service - Gardening at Clark Park community garden,Service - gardening at clark park community garden,NGSC Culture - Intersectionality Event,Civ-Mil  - Section 8 Service Documentary",1,2,1
2,no,No,no,0,,1,2,1
4,No,Yes,yes,4,"""Service -  Knock Doors with a Bernie Victory Captain in Phoenix, AZ!"",Service -  Central Phoenix Get Out the Vote Door Knocking!,NGSC Culture - Meeting the Moment: Leadership During A Crisis Panel Series: Leadership as a first responder and medical professional,Civ-Mil  - Meeting the Moment: The Next Generation of Service ",1,2,1
5,Yes,yes,yes,4,"Civ-Mil  - Overview of September 11th Nat'l Day of Service and Remembrance and Planning Your Service Project,Service - Volunteer in surgery waiting east at Phoenix Children's Hospital,Service - volunteer in surgery waiting east at phoenix children's hospital,NGSC Culture - Health Professions panel from mission team 16",1,2,1
4,Yes,Yes,YES,4,"Service - Saint Vincent de Paul,NGSC Culture - Preparing for Spring 2020 On Leadership,Civ-Mil  - The Six Triple Eight,""Service - Zooniverse, Sounds of New York""",1,2,2
5,Yes,yes,yes,4,"NGSC Culture - PSA Civil Servants Committee,Civ-Mil  - Profiles in Service- It Takes A Nation,Service - FreeRice.com,Service - Volunteered at Press Start ASU",1,2,1
2,Yes,Yes,yes,0,,1,2,0
4,Yes,Yes,yes,0,,1,2,1
3,Yes,Yes,yes,4,"Civ-Mil  - 2020 Rhodes Lecture,NGSC Culture - ASU Day at the Capitol (NGSC table),Service - Hat making for homeless survivors of Domestic violence ,Service - Crocheting hats for DV survivors ",0,0,0
T3,Yes,Yes,yes,4,"NGSC Culture - MT2 In n Out - Human Trafficking Awareness,""Civ-Mil  - Six-Triple Eight"""" WWII All Black, All Female Battalion documentary screening"",Service - Kindergarten Readiness Child Care ,Service - Cleaning the Church Building for the Church of Jesus Christ of Latterday Saints ",0,0,0
3,No,yes,yes,5,"NGSC Culture - Meeting the Moment: Leadership During A Crisis ,NGSC Culture - Meeting the Moment,Service - Distributed Proofreaders,Service - Dosomething.org; Shower Songs,Civ-Mil  - Home Base Veterans Activity",1,2,1
2,no,No,no,4,"Service - Arizona Music Educators Association (AMEA) Conference,Service - Letters Against Depression,""Civ-Mil  - Webinar: """"Keeping Military Families Emotionally Strong: Couples Therapy for PTSD"""""",NGSC Culture - Passion/Niche Presentation",1,2,1
4,Yes,yes,yes,4,"NGSC Culture - Women's March Poster Making Party,Service - MLK Day of Service: Tigermountain Foundation,Service - DogFest,Civ-Mil  - Profiles in Service - It Takes A Nation Documentary",1,2,1
4,Yes,Yes,yes,4,"Service - Feed My Starving Children w/ Troop 565 ,Service - Merit Badge Clinic ,NGSC Culture - Civil-Military Committee Meeting ,Civ-Mil  - To Be of Service Netflix Party",1,2,1
T3,Yes,Yes,yes,4,"Civ-Mil  - Letter to a Solider ,Service - Impossible Dreams ,Service - Halo Humane Society ,NGSC Culture - Meeting the Moment: The Next Generation of Service",1,2,1
5,Yes,Yes,yes,3,"Service - Feed my starving children,Civ-Mil  - meeting the moment,NGSC Culture - The Real Benjamin Franklin and the Spirit of Capitalism",1,3,1
2,yes,Yes,yes,4,"Service - ONE Community Block Party for Equality,Civ-Mil  - Child Holocaust Survivor’s Story,Service - Emergency Food Box Packing - Winter '20,NGSC Culture - Health Professions Panel",1,2,1
3,Yes,Yes,yes,4,"Service - Dream Center,Service - Dream Center,NGSC Culture - NGSC Netflix Party,Civ-Mil  - Discussion on the Documentary from The Code of Support Foundation",1,2,1
5,Yes,Yes,yes,4,"Service - St. Mary's Food Bank,Service - Passed out St Mary's food bank boxes,Civ-Mil  - Sandboxx,NGSC Culture - Staying with new family",1,2,1
2,Yes,Yes,yes,4,"Civ-Mil  - Profiles in Service - It Takes A Nation,Service - Note Taker - Workshop ,Service - Sun Devil Classic - Rawhide,NGSC Culture - OLS4",1,2,1
4,No,yes,yes,4,"Service - Food Sort at 2nd Harvest,NGSC Culture - Preparation for On Leadership,Civ-Mil  - Border Wall Debate,Service - Smithsonian Transcription ",2,2,1
5,Yes,Yes,yes,0,,1,2,1
4,Yes,Yes,yes,3,"NGSC Culture - Service Committee Chair,Service - Feed My Starving Children,""Civ-Mil  - """"Profiles in Service"""" Documentary Screening""",1,2,1
5,Yes,Yes,yes,4,"Service - Bash the Bug live stream,Service - Dosomething.org,Civ-Mil  - Meeting the moment,Civ-Mil  - Section 8 civ mil event",1,2,1
4,No,Yes,Yes,4,"Civ-Mil  - Overview of September 11th Nat'l Day of Service and Remembrance and Planning Your Service Project,NGSC Culture - Mission Team 16 Public Health Webinar,Service - Free Rice,Service - Free Rice",1,2,1
3,No,Yes,yes,3,"Service - Podcast Production,Civ-Mil  - Meeting the Moment: The Next Generation of Service,NGSC Culture - Healthcare Professionals Panel video and/or articles",1,2,1
5,Yes,Yes,yes,5,"NGSC Culture - Womens March,NGSC Culture - Day in the Life,Service - Coronavirus Service Event,Civ-Mil  - Band of Brothers Viewing and Discussion,Service - Feed My Starving Children",0,0,0
5,Yes,Yes,Yes,5,"NGSC Culture - Mission Team 16 Health Professionals Panel Discussion,Service - Arizona Life March 2020,""Service - (Several) Virtual service: Letters to Strangers, FreeRice, Harvard COVID-19 Implicit Asso. Test"",""Civ-Mil  - Leadership During A Crisis Panel Series: Session 1, Leadership in Crisis Planning and Crisis Decision Making"",Civ-Mil  -  Leadership in Crisis Planning and Crisis Decision Making",1,2,1
4,No,Yes,yes,4,"Service - Phoenix NEDA Leadership Committee,Service - Leadership Committee for Phoenix NEDA,Civ-Mil  - To Be of Service Netflix Party,NGSC Culture - Meeting the Moment: the Next Generation of Service",1,2,1
3,Yes,Yes,Yes,4,"Service - School in the cloud,Civ-Mil  - The War PBS documentary ,Service - Bash the Bug,NGSC Culture - Meeting the Moment",1,2,1
2,yes,Yes,yes,0,,1,2,1
T3,Yes,Yes,yes,4,"Service - Feed My Starving Children,Service - St. Vincent de Paul Urban Farm volunteer,NGSC Culture - Penny Drive with Mission Team 2,Civ-Mil  - NMUSAF Virtual Tour",1,2,1
4,Yes,Yes,yes,4,"Service - March of Dimes Youh Leadership Council,Service - March of Dimes Youth Leadership Council ,NGSC Culture - NGSC PETTING ZOO,Civ-Mil  - Civil-Mil Viewing & Discussion",1,2,1
4,Yes,yes,yes,6,"Service - Valparaiso High School Baseball ,Service - Valparaiso High School Baseball,Service - Valparaiso High School Baseball,Civ-Mil  - Meeting the Moment: The Next Generation of Service,NGSC Culture - NGSC Connect,NGSC Culture - NGSC Connect",1,2,1
T2,Yes,Yes,yes,4,"Service - Food Packaging,Civ-Mil  - The Caravan: Abdallah Azzam and the Rise of Global Jihad,Service - Sounds of NYC,NGSC Culture - Meeting the Moment: The Next Generation of Service",0,0,0
5,No,Yes,yes,4,"Civ-Mil  - Zoom conversation with Margaret Raffin on her experience with being a woman in the air force ,NGSC Culture - Mission Team 18 meeting ,Service - Volunteer at Road Runner food bank ,Service - Feed my starving children ",1,2,1
3,Yes,Yes,yes,4,"NGSC Culture - Mission Team 4 meeting ,Civ-Mil  - Zoom meeting with Margaret Raffin,Service - Road Runner Food bank volunteer ,Service - Andre House of Hospitality Volunteer ",1,2,1
3,Yes,Yes,no,4,"Civ-Mil  - Gen Mattis Talk,Service - IMPACT Volunteering ,Service - Volunteer at Feed my Starving Children,NGSC Culture - Healthcare Townhall",1,2,1
4,Yes,Yes,yes,4,"NGSC Culture - Active Ambassador Committee Member ,Service - Mask sewing,Service - Be My Eyes,Civ-Mil  - Leadership Crisis Planning Series - Zoom Lecture 1 ",1,3,0
5,No,yes,yes,4,"Service - Volunteering with The Mission Continues,Service - Volunteering with The Mission Continues,NGSC Culture - Meeting The Moment; Leadership During a Crisis Session 3 ,Civ-Mil  - Meeting the moment: the next generation of service",1,2,1
5,Yes,Yes,yes,4,"Service - Feed my starving children,Civ-Mil  - Leadership in Crisis Planning and Crisis Decision Making,Service - 7 Cups,NGSC Culture - Virtual Town Hall",0,0,0
5,Yes,yes,yes,4,"Service - Feed my starving children,NGSC Culture - documentary screening and discussion section 8,Service - neighborhood quarantine chalk activity,Civ-Mil  - netflix party documentary screening",1,2,1
4,Yes,Yes,no,4,"Service - Feed My Starving Children,NGSC Culture - Meeting The Moment: Leadership During a Crisis ,Civ-Mil  - Leadership as a First Responder and a Medical Professional,Service - Meeting The Moment: The Next Generation of Service",1,2,1
4,No,Yes,yes,4,"Civ-Mil  - Sandboxx Letter Writing,Service - Corona Mask Creation,NGSC Culture - Leadership in Crisis Planning and Crisis Decision Making,Service - Mask Making for Healthcare Workers",2,3,1
4,Yes,Yes,yes,4,"Civ-Mil  - Thwarting Threats and Nurturing Allies in Today's Global Affairs,NGSC Culture - Roadmap to Intersectionality ,Service - Donated Rice,Service - Letters to Strangers",1,2,1
3,Yes,Yes,yes,3,"Civ-Mil  - Session 1: Leadership in Crisis Planning and Crisis Decision Making,NGSC Culture - Francesca L??,Service - Freerice.com + Translators w/o Borders",1,2,0
4,Yes,Yes,yes,4,"NGSC Culture - NGSC Ambassador ,Service - Sparky's Day of Service,Civ-Mil  - History-Veterans Stories ,Service - Digital Advocate",1,1,1
5,Yes,Yes,yes,4,"NGSC Culture - Events Committee (Field Day Subcommittee),Civ-Mil  - John J. Rhodes Lecture featuring General James Mattis,Service - Feed My Starving Children,Service - Dogfest",0,1,0
4,No,No,yes,3,"Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,NGSC Culture - Healthcare Professionals Panel ,Service - ASU vs. Arizona President’s Tailgate Volunteer",1,2,1
2,yes,Yes,no,4,"NGSC Culture - Virtual Petting Zoom,Civ-Mil  - Meeting the Moment: Leadership During a Crisis Panel Series ,Service - Bash the Bug,Service - Meeting the Moment: The Next Generation of Service",1,2,1
3,No,YES,yes,3,"Civ-Mil  - Leadership in Crisis Planning and Crisis Decision Making,NGSC Culture - Leadership as First Responders and a Medical Professional,Service - School Clean Up",1,2,1
5,Yes,Yes,yes,4,"Service - Tutoring,Civ-Mil  - Profiles in Service- It Takes A Nation,NGSC Culture - Netflix Party- A Plastic Ocean,Service - FreeRice.com",1,2,1
4,No,Yes,yes,4,"NGSC Culture - Open Door: Sun Devil Alka Rocketeers,Civ-Mil  - Open Door Polytechnic,Service - FreeRice,Service - Sun Devil Alka Rocketeers",1,2,1
4,Yes,Yes,yes,4,"Civ-Mil  - Rhodes Lecture with General James Mattis,Service - Transcribing for the Smithsonian ,Service - Aunt Rita's AIDS walk,NGSC Culture - Travel the World Culture Event",1,2,1
4,No,Yes,yes,5,"Service - Making homemade surgical masks for my neighbors!,Service - Volunteering at the Downtown Pitchfork Pantry,NGSC Culture - Served on the Civil-Mil Committee ,Civ-Mil  - Netflix Party with Civil-Mil Committee,Civ-Mil  - Netflix Party with the Civil Mil Committee ",1,2,1
3,Yes,Yes,yes,4,"Civ-Mil  - Civil-Mil Viewing and Discussion,Service - Freerice,NGSC Culture - The McCain Institute: Next Generation Leaders,Service - FreeRice.com",1,2,1
4,Yes,Yes,Yes,4,"NGSC Culture - Women's March ,Civ-Mil  - Documentary viewing ,Service - SDAR Outreach,Service - Human Trafficking Penny Drive",1,2,1
4,Yes,Yes,Yes,4,"Service - Feed My Starving Children,Service - Feed my Starving Children,Civ-Mil  - 16th Annual Pat's Run,NGSC Culture - Healthcare Professionals Panel",1,2,1
5,Yes,Yes,yes,5,"Service - REEP Men of Distinction Charity DInner,Service - St. Mary's Food Bank ,Service - Tutoring kids for English,Civ-Mil  - Civ-Mil Reflections,NGSC Culture - Leadership During Crisis 4/24",1,1,1
5,Yes,Yes,yes,6,"Service - Aria Echols,Service - Feed my Starving Children,Civ-Mil  - Profiles in Service,NGSC Culture - Healthcare Professionals Panel vide,Service - Free rice,""NGSC Culture - """"Meeting the Moment: Leadership During a Crisis""""McCain Institute’s Next Generation Leaders """,1,2,1
5,Yes,yes,yes,4,"Service - Science night,NGSC Culture - cblock3@asu.edu ,Civ-Mil  - CDC lecture,Service - Volunteer at Phoenix Zoo scavenger hunt ",1,0,1
5,Yes,Yes,yes,1,Service - MLK Day of Service,1,2,1
2,Yes,Yes,Yes,3,"Service - City of Phoenix water quality monitoring,Civ-Mil  - Meeting the Moment: The Next Generation of Service,NGSC Culture - Night of the Open Door",1,2,1
4,No,yes,yes,5,"Civ-Mil  - Leadership as a Public Official,Civ-Mil  - The McCain Institute: Next Generation Leaders ,NGSC Culture - Cultura,Service - phoenix marathon,Service - The next generation of service",1,3,1
T2,no,yes,yes,4,"NGSC Culture - Chair of Events Committee,Service - SMITHSONIAN DIGITAL VOLUNTEERS: TRANSCRIPTION CENTER,Civ-Mil  - Session 1: Leadership in Crisis Planning and Crisis Decision Making,""Service - Free Rice, World Food Programme""",1,2,2
2,YES,Yes,yes,4,"Service - Fulton Open Door,Service - Career Fair,Civ-Mil  - Meeting the Moment: The Next Generation of Service special event in collaboration with the Nat'l Commission on Service,NGSC Culture - Leadership in Crisis Planning and Crisis Decision Making ",1,2,1
2,no,Yes,yes,2,"Service - Rene Fernandez,NGSC Culture - The McCain Institute: Next Generation Leaders",0,0,0
4,Yes,Yes,Yes,4,"NGSC Culture - Healthcare professionals panel video and/or articles ,Service - Operations Warm; Project implicit ,Civ-Mil  - History - Veteran's stories ,Service - Freerice.com",1,2,1
5,Yes,yes,yes,4,"NGSC Culture - Events committee meeting ,Service - Volunteered at HIV/Aids Walk ,Service - Feed My Starving Children ,""Civ-Mil  - PBS- The War, Letter from Directors """,1,2,1
2,YES,Yes,yes,5,"Civ-Mil  - ASU Online - Letters to Soldiers,Civ-Mil  - Netflix Party with Civil-Mil Committee,Service - FreeRice,NGSC Culture - Section 1 Meeting,Service - ASU Open Door",1,2,1
2,No,No,yes,0,,2,2,1
3,Yes,YES!,yes,5,"Service - Bash the bug,Civ-Mil  - Netflix Party with Civil mil committee ,NGSC Culture - Meeting the Moment: Leadership During a Crisis,Service - Feed My Starving Children,NGSC Culture - Meeting the Moment: Leadership as a First Responder and Medical Professional.",1,2,1
2,YES,Yes,yes,4,"NGSC Culture - On-Leadership Seminar volunteer,Civ-Mil  - Leadership in Crisis Planning and Crisis Decision Making,Service - NGSC Connect,Service - NGSC Connect",1,1,1
4,Yes,Yes,yes,4,"Civ-Mil  - Leadership In Crisis Planning and Crisis Decision Making,NGSC Culture - Session 2: Leadership as a Public Official,Service - MT 14 Virtual Service: Sounds of New York,Service - Meeting the Moment: The Next Generation of Service",1,2,1
5,Yes,yes,yes,4,"NGSC Culture - In-N-Out NGSC Dinner for Human Trafficking,Civ-Mil  - 2020 John. J. Rhodes Lecture in Public Policy & American institutions,Service - Talent Match ,Service - Talent Match ",1,2,1
2,YES,yes,yes,6,"Service - Volunteering at American Indian Student Support Services,Service - Volunteer at American Indian Student Support Services,Service - Volunteer at American Indian Student Support Services,Service - Volunteer at American Indian Student Support Services,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,NGSC Culture - health professions panel",0,0,0
4,Yes,Yes,yes,4,"Civ-Mil  - Zoom Documentary/Discussion,NGSC Culture - Tiger King Discussion,Service - Helping Hand Run Prep,Service - Copa Camp",1,2,1
3,No,Yes,yes,4,"Service - 1MISSION Bikes Fight Poverty Launch Party,Service - 1MISSION Bikes Fight Poverty Launch,Civ-Mil  - Letters to Air Force Academy Students,NGSC Culture - Interview an Alumni!",1,2,1
4,Yes,Yes,yes,4,"NGSC Culture - Making Posters for the Women's March,Service - Volunteering with Borderlands Produce Rescue,Civ-Mil  - Watching Profiles in Service: It Takes a Nation,Service - Bash the Bugs",1,2,1
5,No,Yes,no,1,Service - Feed My Starving Children ,1,2,1
3,Yes,Yes,yes,3,"Civ-Mil  - German Perspective of Battle of Stalingrad Movie,Service - Feed My Starving Children,NGSC Culture - DIY air freshener or dryer sheets",1,2,1
4,Yes,Yes,yes,4,"Service - Tutoring,Service - Help with Campaign,NGSC Culture - The McCain Institute: Next Generation Leaders,Civ-Mil  - Civil-Mil Links and Reflection",1,2,1
2,YES,Yes,yes,3,"Service - Made Homemade Face Masks,NGSC Culture - Tabling at Spring OLS,Civ-Mil  - Meeting the Moment: The Next Generation of Service",1,2,1
T3,Yes,Yes,yes,4,"Service - Letters Against Depression,Service - Volunteering at St. Vincent de Paul,Civ-Mil  - Home-Base Webniar,NGSC Culture - Netflix Party",1,2,1
5,Yes,Yes,yes,4,"Service - St. Mary's Food Bank,NGSC Culture - Health Care Professionals Panel Recording,Civ-Mil  - Profiles in Service- It takes a nation,Service - Freerice",1,2,1
2,yes,yes,YES,0,,1,2,1
3,Yes,yes,yes,3,"Service - Saint Vincent de Paul Family Evening Meal Intake Volunteer,Service - Saint Vincent de Paul Family Evening Meal Intake Volunteer,NGSC Culture - Mission Team 16:  Healthcare Professionals Panel",1,2,1
2,yes,yes,yes,0,,1,2,1
2,YES,Yes,yes,3,"Service - LAUSD Student Food Distribution,Civ-Mil  - Personal Protective Delivery For Veterans,Service - Bridge Builders Foundation",1,2,1
T3,Yes,Yes,YES,4,"NGSC Culture - NGSC Sustainability DIY Workshop ,Service - Making Face Masks ,Civ-Mil  - Profiles in Service - It Takes A Nation,Service - Meeting the Moment: The Next Generation of Service",1,2,1
4,Yes,No,yes,4,"NGSC Culture - NGSC Connect Culture,Civ-Mil  - Profiles in Service - It Takes A Nation,Service - Boxer Run,Service - Feed My Starving Children",1,2,1
5,Yes,yes,yes,4,"Civ-Mil  - Profiles in Service - It Takes A Nation,Service - Sewing Masks for Healthcare Workers ,Service - Sewing Masks For Healthcare Workers ,NGSC Culture - Monthly Events Task Committee ",1,2,1
2,Yes,Yes,yes,5,"Service - St. Mary's Food Bank Volunteering,NGSC Culture - Francesca LaScala's Barrett Thesis Project,Service - Remote Mentoring of Middle School Student,NGSC Culture - Meeting the Moment: Leadership as a First Responder and Medical Professional,Civ-Mil  - Meeting the Moment: Next Generation of Service",1,2,1
2,YES,Yes,yes,4,"Service - ASU POLY VEX Competition 2019 ,Service - ASU POLY VEX Competition 2020,NGSC Culture - OLS Spring 2020 Volunteer,Civ-Mil  - Meeting the Moment: The Next Generation of Service",0,0,0
